UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,AIRCRAFT_TYPE,MONTH
02Q,Titan Airways,ISP,NY,JFK,NY,721,9
02Q,Titan Airways,JFK,NY,ISP,NY,721,9
04Q,Tradewind Aviation,6B0,VT,BDL,CT,479,9
04Q,Tradewind Aviation,ABQ,NM,MLI,IL,646,9
04Q,Tradewind Aviation,ACK,MA,BED,MA,479,9
04Q,Tradewind Aviation,ACK,MA,BED,MA,646,9
04Q,Tradewind Aviation,ACK,MA,BLM,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,BOS,MA,479,9
04Q,Tradewind Aviation,ACK,MA,DXR,CT,479,9
04Q,Tradewind Aviation,ACK,MA,FOK,NY,479,9
04Q,Tradewind Aviation,ACK,MA,FRG,NY,479,9
04Q,Tradewind Aviation,ACK,MA,GAI,MD,479,9
04Q,Tradewind Aviation,ACK,MA,HFD,CT,479,9
04Q,Tradewind Aviation,ACK,MA,HPN,NY,479,9
04Q,Tradewind Aviation,ACK,MA,HPN,NY,479,9
04Q,Tradewind Aviation,ACK,MA,JFK,NY,479,9
04Q,Tradewind Aviation,ACK,MA,LEB,NH,479,9
04Q,Tradewind Aviation,ACK,MA,MMU,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,NJ4,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,OWD,MA,479,9
04Q,Tradewind Aviation,ACK,MA,PBI,FL,479,9
04Q,Tradewind Aviation,ACK,MA,PNE,PA,479,9
04Q,Tradewind Aviation,ACK,MA,PSF,MA,479,9
04Q,Tradewind Aviation,ACK,MA,PWM,ME,479,9
04Q,Tradewind Aviation,ACK,MA,RKD,ME,479,9
04Q,Tradewind Aviation,ACK,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,ACK,MA,UXO,MA,479,9
04Q,Tradewind Aviation,AUG,ME,MVL,VT,479,9
04Q,Tradewind Aviation,BAF,MA,HTO,NY,479,9
04Q,Tradewind Aviation,BBX,PA,BHB,ME,479,9
04Q,Tradewind Aviation,BBX,PA,HTO,NY,479,9
04Q,Tradewind Aviation,BBX,PA,JFK,NY,479,9
04Q,Tradewind Aviation,BBX,PA,LBE,PA,479,9
04Q,Tradewind Aviation,BED,MA,ACK,MA,479,9
04Q,Tradewind Aviation,BED,MA,BKL,OH,646,9
04Q,Tradewind Aviation,BED,MA,BUF,NY,479,9
04Q,Tradewind Aviation,BED,MA,FOK,NY,479,9
04Q,Tradewind Aviation,BED,MA,GBR,MA,479,9
04Q,Tradewind Aviation,BED,MA,HPN,NY,479,9
04Q,Tradewind Aviation,BED,MA,MVY,MA,479,9
04Q,Tradewind Aviation,BED,MA,PCT,NJ,479,9
04Q,Tradewind Aviation,BED,MA,RKD,ME,479,9
04Q,Tradewind Aviation,BED,MA,SCE,PA,479,9
04Q,Tradewind Aviation,BED,MA,SEG,PA,479,9
04Q,Tradewind Aviation,BED,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,BED,MA,VGC,NY,479,9
04Q,Tradewind Aviation,BGR,ME,HPN,NY,479,9
04Q,Tradewind Aviation,BHB,ME,BBX,PA,479,9
04Q,Tradewind Aviation,BHB,ME,HTO,NY,479,9
04Q,Tradewind Aviation,BHB,ME,LEB,NH,479,9
04Q,Tradewind Aviation,BHB,ME,MVY,MA,479,9
04Q,Tradewind Aviation,BHB,ME,PWM,ME,479,9
04Q,Tradewind Aviation,BID,RI,EWR,NJ,479,9
04Q,Tradewind Aviation,BID,RI,PVD,RI,479,9
04Q,Tradewind Aviation,BID,RI,TEB,NJ,479,9
04Q,Tradewind Aviation,BLM,NJ,ACK,MA,479,9
04Q,Tradewind Aviation,BOS,MA,ACK,MA,479,9
04Q,Tradewind Aviation,BOS,MA,HPN,NY,479,9
04Q,Tradewind Aviation,BOS,MA,HTO,NY,479,9
04Q,Tradewind Aviation,BOS,MA,LEB,NH,479,9
04Q,Tradewind Aviation,BOS,MA,NPT,RI,479,9
04Q,Tradewind Aviation,BOS,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,BTV,VT,ACK,MA,479,9
04Q,Tradewind Aviation,BTV,VT,HYA,MA,479,9
04Q,Tradewind Aviation,BTV,VT,MLI,IL,646,9
04Q,Tradewind Aviation,BTV,VT,MVY,MA,479,9
04Q,Tradewind Aviation,BTV,VT,TEB,NJ,479,9
04Q,Tradewind Aviation,BUF,NY,BED,MA,479,9
04Q,Tradewind Aviation,BUF,NY,HPN,NY,479,9
04Q,Tradewind Aviation,BUF,NY,RME,NY,479,9
04Q,Tradewind Aviation,BUF,NY,TEB,NJ,479,9
04Q,Tradewind Aviation,BVY,MA,ACK,MA,479,9
04Q,Tradewind Aviation,BVY,MA,MTH,FL,646,9
04Q,Tradewind Aviation,CEF,MA,ILG,DE,479,9
04Q,Tradewind Aviation,CGS,MD,HPN,NY,479,9
04Q,Tradewind Aviation,CGS,MD,SWF,NY,479,9
04Q,Tradewind Aviation,CHO,VA,HPN,NY,479,9
04Q,Tradewind Aviation,CHO,VA,TEB,NJ,479,9
04Q,Tradewind Aviation,CHS,SC,HPN,NY,646,9
04Q,Tradewind Aviation,CMH,OH,HPN,NY,479,9
04Q,Tradewind Aviation,CON,NH,FOK,NY,479,9
04Q,Tradewind Aviation,CT2,CT,PSM,NH,479,9
04Q,Tradewind Aviation,CVX,MI,PBI,FL,479,9
04Q,Tradewind Aviation,DXR,CT,PA5,PA,479,9
04Q,Tradewind Aviation,EKN,WV,TEB,NJ,479,9
04Q,Tradewind Aviation,EWR,NJ,BID,RI,479,9
04Q,Tradewind Aviation,EWR,NJ,MVY,MA,479,9
04Q,Tradewind Aviation,FID,NY,FOK,NY,479,9
04Q,Tradewind Aviation,FID,NY,FRG,NY,479,9
04Q,Tradewind Aviation,FID,NY,HPN,NY,479,9
04Q,Tradewind Aviation,FOK,NY,BAF,MA,479,9
04Q,Tradewind Aviation,FOK,NY,BUF,NY,479,9
04Q,Tradewind Aviation,FOK,NY,CON,NH,479,9
04Q,Tradewind Aviation,FOK,NY,FID,NY,479,9
04Q,Tradewind Aviation,FOK,NY,HAR,PA,479,9
04Q,Tradewind Aviation,FOK,NY,PHL,PA,479,9
04Q,Tradewind Aviation,FRG,NY,ACK,MA,479,9
04Q,Tradewind Aviation,FRG,NY,FID,NY,479,9
04Q,Tradewind Aviation,FRG,NY,ROC,NY,479,9
04Q,Tradewind Aviation,FRG,NY,TEB,NJ,479,9
04Q,Tradewind Aviation,GAI,MD,HPN,NY,479,9
04Q,Tradewind Aviation,GAI,MD,SYR,NY,479,9
04Q,Tradewind Aviation,GBR,MA,BED,MA,479,9
04Q,Tradewind Aviation,GFL,NY,HVN,CT,479,9
04Q,Tradewind Aviation,GRR,MI,TEB,NJ,646,9
04Q,Tradewind Aviation,HAR,PA,TEB,NJ,479,9
04Q,Tradewind Aviation,HFD,CT,ACK,MA,479,9
04Q,Tradewind Aviation,HFD,CT,MVY,MA,479,9
04Q,Tradewind Aviation,HPN,NY,ACK,MA,479,9
04Q,Tradewind Aviation,HPN,NY,ACK,MA,479,9
04Q,Tradewind Aviation,HPN,NY,BED,MA,479,9
04Q,Tradewind Aviation,HPN,NY,BOS,MA,479,9
04Q,Tradewind Aviation,HPN,NY,BTV,VT,479,9
04Q,Tradewind Aviation,HPN,NY,BUF,NY,479,9
04Q,Tradewind Aviation,HPN,NY,BWI,MD,479,9
04Q,Tradewind Aviation,HPN,NY,CHO,VA,479,9
04Q,Tradewind Aviation,HPN,NY,CMH,OH,479,9
04Q,Tradewind Aviation,HPN,NY,FID,NY,479,9
04Q,Tradewind Aviation,HPN,NY,HTO,NY,479,9
04Q,Tradewind Aviation,HPN,NY,HYA,MA,479,9
04Q,Tradewind Aviation,HPN,NY,IPT,PA,479,9
04Q,Tradewind Aviation,HPN,NY,JZT,TX,646,9
04Q,Tradewind Aviation,HPN,NY,LCI,NH,479,9
04Q,Tradewind Aviation,HPN,NY,LCK,OH,479,9
04Q,Tradewind Aviation,HPN,NY,LEB,NH,479,9
04Q,Tradewind Aviation,HPN,NY,ME1,ME,479,9
04Q,Tradewind Aviation,HPN,NY,MVL,VT,479,9
04Q,Tradewind Aviation,HPN,NY,MVY,MA,479,9
04Q,Tradewind Aviation,HPN,NY,MVY,MA,479,9
04Q,Tradewind Aviation,HPN,NY,NHZ,ME,479,9
04Q,Tradewind Aviation,HPN,NY,NPT,RI,479,9
04Q,Tradewind Aviation,HPN,NY,ORL,FL,646,9
04Q,Tradewind Aviation,HPN,NY,PDK,GA,646,9
04Q,Tradewind Aviation,HPN,NY,PVC,MA,479,9
04Q,Tradewind Aviation,HPN,NY,RKD,ME,479,9
04Q,Tradewind Aviation,HPN,NY,ROA,VA,479,9
04Q,Tradewind Aviation,HPN,NY,SLK,NY,479,9
04Q,Tradewind Aviation,HPN,NY,SSI,GA,479,9
04Q,Tradewind Aviation,HPN,NY,UBF,MA,479,9
04Q,Tradewind Aviation,HPN,NY,VJI,VA,479,9
04Q,Tradewind Aviation,HTO,NY,ACK,MA,479,9
04Q,Tradewind Aviation,HTO,NY,BED,MA,479,9
04Q,Tradewind Aviation,HTO,NY,BLM,NJ,479,9
04Q,Tradewind Aviation,HTO,NY,CON,NH,479,9
04Q,Tradewind Aviation,HTO,NY,HPN,NY,479,9
04Q,Tradewind Aviation,HTO,NY,PVD,RI,479,9
04Q,Tradewind Aviation,HTO,NY,UBF,MA,479,9
04Q,Tradewind Aviation,HVN,CT,PNE,PA,479,9
04Q,Tradewind Aviation,HYA,MA,BVY,MA,479,9
04Q,Tradewind Aviation,HYA,MA,MMU,NJ,479,9
04Q,Tradewind Aviation,HYA,MA,MTP,NY,479,9
04Q,Tradewind Aviation,HYA,MA,MVY,MA,479,9
04Q,Tradewind Aviation,HYA,MA,SWF,NY,479,9
04Q,Tradewind Aviation,HYA,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,IAD,VA,FID,NY,479,9
04Q,Tradewind Aviation,IAD,VA,MA1,MA,479,9
04Q,Tradewind Aviation,IAD,VA,NY5,NY,479,9
04Q,Tradewind Aviation,IAD,VA,TEB,NJ,479,9
04Q,Tradewind Aviation,ILG,DE,HPN,NY,479,9
04Q,Tradewind Aviation,ILG,DE,OWD,MA,479,9
04Q,Tradewind Aviation,ILM,NC,BOS,MA,646,9
04Q,Tradewind Aviation,IPT,PA,SLK,NY,479,9
04Q,Tradewind Aviation,ISP,NY,STL,MO,479,9
04Q,Tradewind Aviation,JFK,NY,ACK,MA,479,9
04Q,Tradewind Aviation,LBE,PA,BBX,PA,479,9
04Q,Tradewind Aviation,LCI,NH,HPN,NY,479,9
04Q,Tradewind Aviation,LCK,OH,HPN,NY,479,9
04Q,Tradewind Aviation,LEB,NH,BHB,ME,479,9
04Q,Tradewind Aviation,LEB,NH,BOS,MA,479,9
04Q,Tradewind Aviation,LEB,NH,HPN,NY,479,9
04Q,Tradewind Aviation,LGA,NY,LCI,NH,479,9
04Q,Tradewind Aviation,LGA,NY,LEB,NH,479,9
04Q,Tradewind Aviation,LGA,NY,MVY,MA,479,9
04Q,Tradewind Aviation,MA1,MA,IAD,VA,479,9
04Q,Tradewind Aviation,ME2,ME,BOS,MA,479,9
04Q,Tradewind Aviation,MLI,IL,ABQ,NM,646,9
04Q,Tradewind Aviation,MLI,IL,BTV,VT,646,9
04Q,Tradewind Aviation,MMU,NJ,ACK,MA,479,9
04Q,Tradewind Aviation,MMU,NJ,HYA,MA,479,9
04Q,Tradewind Aviation,MMU,NJ,UBF,MA,479,9
04Q,Tradewind Aviation,MTH,FL,ILM,NC,646,9
04Q,Tradewind Aviation,MVL,VT,AUG,ME,479,9
04Q,Tradewind Aviation,MVL,VT,HPN,NY,479,9
04Q,Tradewind Aviation,MVL,VT,UBF,MA,479,9
04Q,Tradewind Aviation,MVY,MA,6B0,VT,479,9
04Q,Tradewind Aviation,MVY,MA,BED,MA,479,9
04Q,Tradewind Aviation,MVY,MA,BHB,ME,479,9
04Q,Tradewind Aviation,MVY,MA,BOS,MA,479,9
04Q,Tradewind Aviation,MVY,MA,BTV,VT,479,9
04Q,Tradewind Aviation,MVY,MA,EWR,NJ,479,9
04Q,Tradewind Aviation,MVY,MA,FOK,NY,479,9
04Q,Tradewind Aviation,MVY,MA,HFD,CT,479,9
04Q,Tradewind Aviation,MVY,MA,HPN,NY,479,9
04Q,Tradewind Aviation,MVY,MA,HPN,NY,479,9
04Q,Tradewind Aviation,MVY,MA,HTO,NY,479,9
04Q,Tradewind Aviation,MVY,MA,HYA,MA,479,9
04Q,Tradewind Aviation,MVY,MA,LGA,NY,479,9
04Q,Tradewind Aviation,MVY,MA,QMN,MA,479,9
04Q,Tradewind Aviation,MVY,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,NH4,NH,NY4,NY,479,9
04Q,Tradewind Aviation,NHZ,ME,HPN,NY,479,9
04Q,Tradewind Aviation,NJ1,NJ,FOK,NY,479,9
04Q,Tradewind Aviation,NPT,RI,ACK,MA,479,9
04Q,Tradewind Aviation,NPT,RI,BOS,MA,479,9
04Q,Tradewind Aviation,NPT,RI,HPN,NY,479,9
04Q,Tradewind Aviation,NPT,RI,TEB,NJ,479,9
04Q,Tradewind Aviation,NPT,RI,TTN,NJ,479,9
04Q,Tradewind Aviation,NY4,NY,NH4,NH,479,9
04Q,Tradewind Aviation,NY5,NY,IAD,VA,479,9
04Q,Tradewind Aviation,ONH,NY,TEB,NJ,479,9
04Q,Tradewind Aviation,OWD,MA,ACK,MA,479,9
04Q,Tradewind Aviation,OWD,MA,PHL,PA,479,9
04Q,Tradewind Aviation,PCT,NJ,EWR,NJ,479,9
04Q,Tradewind Aviation,PCT,NJ,TOL,OH,479,9
04Q,Tradewind Aviation,PDK,GA,TEB,NJ,646,9
04Q,Tradewind Aviation,PHL,PA,ACK,MA,479,9
04Q,Tradewind Aviation,PKB,WV,TEB,NJ,479,9
04Q,Tradewind Aviation,PNE,PA,HVN,CT,479,9
04Q,Tradewind Aviation,PNE,PA,ZXU,RI,479,9
04Q,Tradewind Aviation,PSM,NH,BHB,ME,479,9
04Q,Tradewind Aviation,PVC,MA,HPN,NY,479,9
04Q,Tradewind Aviation,PVC,MA,TEB,NJ,479,9
04Q,Tradewind Aviation,PVD,RI,HTO,NY,479,9
04Q,Tradewind Aviation,PWM,ME,ACK,MA,479,9
04Q,Tradewind Aviation,PWM,ME,BHB,ME,479,9
04Q,Tradewind Aviation,PWM,ME,HTO,NY,479,9
04Q,Tradewind Aviation,QMN,MA,MVY,MA,479,9
04Q,Tradewind Aviation,RKD,ME,BDR,CT,479,9
04Q,Tradewind Aviation,RKD,ME,BED,MA,479,9
04Q,Tradewind Aviation,RKD,ME,HPN,NY,479,9
04Q,Tradewind Aviation,RKD,ME,IPT,PA,479,9
04Q,Tradewind Aviation,RME,NY,TEB,NJ,479,9
04Q,Tradewind Aviation,ROA,VA,HPN,NY,479,9
04Q,Tradewind Aviation,ROC,NY,FRG,NY,479,9
04Q,Tradewind Aviation,ROC,NY,TEB,NJ,479,9
04Q,Tradewind Aviation,RUT,VT,HPN,NY,479,9
04Q,Tradewind Aviation,SCE,PA,BED,MA,479,9
04Q,Tradewind Aviation,SEG,PA,BED,MA,479,9
04Q,Tradewind Aviation,SLK,NY,HPN,NY,479,9
04Q,Tradewind Aviation,SLK,NY,HTO,NY,479,9
04Q,Tradewind Aviation,SLK,NY,TEB,NJ,479,9
04Q,Tradewind Aviation,SSI,GA,HPN,NY,479,9
04Q,Tradewind Aviation,SWF,NY,HYA,MA,479,9
04Q,Tradewind Aviation,SYR,NY,GAI,MD,479,9
04Q,Tradewind Aviation,SYR,NY,HPN,NY,479,9
04Q,Tradewind Aviation,TEB,NJ,ACK,MA,479,9
04Q,Tradewind Aviation,TEB,NJ,ANP,MD,479,9
04Q,Tradewind Aviation,TEB,NJ,BED,MA,479,9
04Q,Tradewind Aviation,TEB,NJ,BOS,MA,479,9
04Q,Tradewind Aviation,TEB,NJ,BUF,NY,479,9
04Q,Tradewind Aviation,TEB,NJ,EKN,WV,479,9
04Q,Tradewind Aviation,TEB,NJ,FRG,NY,479,9
04Q,Tradewind Aviation,TEB,NJ,GRR,MI,646,9
04Q,Tradewind Aviation,TEB,NJ,HTO,NY,479,9
04Q,Tradewind Aviation,TEB,NJ,HYA,MA,479,9
04Q,Tradewind Aviation,TEB,NJ,LEB,NH,479,9
04Q,Tradewind Aviation,TEB,NJ,MVY,MA,479,9
04Q,Tradewind Aviation,TEB,NJ,NPT,RI,479,9
04Q,Tradewind Aviation,TEB,NJ,PKB,WV,479,9
04Q,Tradewind Aviation,TEB,NJ,RUT,VT,479,9
04Q,Tradewind Aviation,TEB,NJ,SLK,NY,479,9
04Q,Tradewind Aviation,TOL,OH,PCT,NJ,479,9
04Q,Tradewind Aviation,TTN,NJ,NPT,RI,479,9
04Q,Tradewind Aviation,UBF,MA,HPN,NY,479,9
04Q,Tradewind Aviation,UBF,MA,LGA,NY,479,9
04Q,Tradewind Aviation,UBF,MA,MMU,NJ,479,9
04Q,Tradewind Aviation,UBF,MA,MVL,VT,479,9
04Q,Tradewind Aviation,VGC,NY,BED,MA,479,9
04Q,Tradewind Aviation,VJI,VA,HPN,NY,479,9
04Q,Tradewind Aviation,VWK,NY,MA4,MA,479,9
04Q,Tradewind Aviation,ZXU,RI,PNE,PA,479,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,AZA,AZ,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,AZA,AZ,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,BED,MA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,BUF,NY,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,CSG,GA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,DHN,AL,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,ELP,TX,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,ELP,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,GSO,NC,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,GSO,NC,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,GSO,NC,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,HRL,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,HRL,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,LAS,NV,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,LRD,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,MIA,FL,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,MSN,WI,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,SAN,CA,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,SAN,CA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,SAT,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,SAT,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,SJU,PR,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,SJU,PR,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,TOL,OH,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AEX,LA,YUM,AZ,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AUS,TX,CVG,KY,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AUS,TX,SAT,TX,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,AEX,LA,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,AEX,LA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,AEX,LA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,DEN,CO,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,DEN,CO,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,DEN,CO,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,ELP,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,ELP,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,HRL,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,HRL,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,JAX,FL,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,JAX,FL,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,LAS,NV,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,LAS,NV,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,LAX,CA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,MIA,FL,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,MIA,FL,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,MSP,MN,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,MSP,MN,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,OAK,CA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,PHX,AZ,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,SAN,CA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,SAT,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,YKM,WA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,YKM,WA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,YUM,AZ,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",AZA,AZ,YUM,AZ,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BDL,CT,PVD,RI,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,MA,BUF,NY,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,MA,HOU,TX,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,MA,MDT,PA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BED,MA,PHL,PA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BFI,WA,LAX,CA,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BFI,WA,ORD,IL,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BGR,ME,GSO,NC,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,LA,AEX,LA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTR,LA,MIA,FL,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUF,NY,BED,MA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUF,NY,EWR,NJ,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUF,NY,IAD,VA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUF,NY,MDT,PA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BUR,CA,MDW,IL,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BWI,MD,OAK,CA,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CAK,OH,LYH,VA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CAK,OH,SAT,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CHA,TN,CAK,OH,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CHA,TN,CMI,IL,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,OH,CPS,MO,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,OH,PIT,PA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,OH,STL,MO,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMH,OH,TVC,MI,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMI,IL,CHA,TN,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CMI,IL,SAT,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CPS,MO,CMH,OH,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CSG,GA,AEX,LA,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CSG,GA,AEX,LA,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CSG,GA,HRL,TX,619,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CSG,GA,LRD,TX,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,AUS,TX,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,DTW,MI,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,MCO,FL,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,MCO,FL,617,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,MIA,FL,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,MKE,WI,614,9
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",CVG,KY,MKE,WI,617,9
